Date,Demand,Hour,Weekday,Price
2018-07-23,1113.6,18,Weekday,33.29
2018-07-23,851.52,19,Weekday,33.25
2018-07-23,577.92,20,Weekday,67.52
2018-07-23,480,21,Weekday,31.58
2018-07-23,360.96,22,Weekday,31.39
2018-07-23,283.2,23,Weekday,25.29
2018-07-24,231.36,0,Weekday,23.68
2018-07-24,219.84,1,Weekday,22.8
2018-07-24,210.24,2,Weekday,20.76
2018-07-24,205.44,3,Weekday,19.68
2018-07-24,205.44,4,Weekday,20.31
2018-07-24,205.44,5,Weekday,25.5
2018-07-24,223.68,6,Weekday,25.29
2018-07-24,280.32,7,Weekday,25.91
2018-07-24,574.08,8,Weekday,29.96
2018-07-24,945.6,9,Weekday,43.29
2018-07-24,1407.36,10,Weekday,35.12
2018-07-24,1438.08,11,Weekday,52.85
2018-07-24,1410.24,12,Weekday,36.49
2018-07-24,1345.92,13,Weekday,41.99
2018-07-24,1441.92,14,Weekday,40.25
2018-07-24,1425.6,15,Weekday,34.53
2018-07-24,1459.2,16,Weekday,69.99
2018-07-24,1344.96,17,Weekday,40.17
2018-07-24,1149.12,18,Weekday,44.96
2018-07-24,745.92,19,Weekday,38.81
2018-07-24,558.72,20,Weekday,40.3
2018-07-24,415.68,21,Weekday,45.08
2018-07-24,312.96,22,Weekday,29.37
2018-07-24,252.48,23,Weekday,26.24
2018-07-25,213.12,0,Weekday,22.48
2018-07-25,200.64,1,Weekday,21.78
2018-07-25,191.04,2,Weekday,20.82
2018-07-25,186.24,3,Weekday,20.03
2018-07-25,183.36,4,Weekday,20.05
2018-07-25,181.44,5,Weekday,22.82
2018-07-25,186.24,6,Weekday,24.13
2018-07-25,252.48,7,Weekday,26.86
2018-07-25,479.04,8,Weekday,29.66
2018-07-25,851.52,9,Weekday,42.98
2018-07-25,1191.36,10,Weekday,27.73
2018-07-25,1189.44,11,Weekday,31.32
2018-07-25,1094.4,12,Weekday,36.04
2018-07-25,1097.28,13,Weekday,46.16
2018-07-25,1244.16,14,Weekday,38.13
2018-07-25,1213.44,15,Weekday,34.25
2018-07-25,1234.56,16,Weekday,33.03
2018-07-25,1127.04,17,Weekday,32.76
2018-07-25,954.24,18,Weekday,31.97
2018-07-25,610.56,19,Weekday,34.1
2018-07-25,448.32,20,Weekday,33.92
2018-07-25,356.16,21,Weekday,33.91
2018-07-25,314.88,22,Weekday,28.56
2018-07-25,269.76,23,Weekday,25.12
2018-07-26,222.72,0,Weekday,22.36
2018-07-26,208.32,1,Weekday,21.02
2018-07-26,202.56,2,Weekday,19.31
2018-07-26,194.88,3,Weekday,18.83
2018-07-26,197.76,4,Weekday,18.76
2018-07-26,197.76,5,Weekday,19.88
2018-07-26,194.88,6,Weekday,20.34
2018-07-26,266.88,7,Weekday,20.88
2018-07-26,495.36,8,Weekday,24.86
2018-07-26,804.48,9,Weekday,26.1
2018-07-26,1179.84,10,Weekday,34.85
2018-07-26,1176,11,Weekday,28.61
