Year,Month,Day,Hour,Demand,Price,Weekday
2017,7,21,19,785.3692570148299,48.15,1
2017,7,21,20,858.45646658683,55.830001,1
2017,7,21,21,953.04122021734,59.39,1
2017,7,21,22,1094.00806192433,33.74,1
2017,7,21,23,1062.55815857569,27.35,1
2017,7,22,0,993.2146535717,24.89,0
2017,7,22,1,920.1188377954,23.99,0
2017,7,22,2,853.5635674618,23.670001,0
2017,7,22,3,664.6992900355,22.469999,0
2017,7,22,4,454.497002787,21.44,0
2017,7,22,5,263.70615210801003,22.07,0
2017,7,22,6,134.81794828016,21.85,0
2017,7,22,7,119.25150812544,23.66,0
2017,7,22,8,116.39299420263,25.06,0
2017,7,22,9,115.87058683134,27.24,0
2017,7,22,10,127.965818805,28.98,0
2017,7,22,11,167.93027930964,43.400001,0
2017,7,22,12,227.15817477031,50.72,0
2017,7,22,13,206.96204473597996,34.569999,0
2017,7,22,14,179.8540611447,47.700001,0
2017,7,22,15,203.36352372656,39.5,0
2017,7,22,16,307.12569081373,41.079999,0
2017,7,22,17,430.95236832693,48.18,0
2017,7,22,18,576.01373009693,34.139999,0
2017,7,22,19,720.38882736803,31.68,0
2017,7,22,20,841.4559148308298,31.87,0
2017,7,22,21,978.46725311374,34.26,0
2017,7,22,22,1125.6138034787302,27.18,0
2017,7,22,23,1085.08514827949,25.01,0
2017,7,23,0,1024.8582434519,22.86,0
2017,7,23,1,948.6290740824,22.78,0
2017,7,23,2,904.1011558794,22.4,0
2017,7,23,3,703.1605716283,21.85,0
2017,7,23,4,511.2518530465,20.8,0
2017,7,23,5,326.39554032567,20.26,0
2017,7,23,6,215.60012889848,19.85,0
2017,7,23,7,159.12618455103998,21.61,0
2017,7,23,8,123.75253811357598,23.79,0
2017,7,23,9,115.87058683134,24.74,0
2017,7,23,10,127.965818805,27.92,0
2017,7,23,11,167.93027930964,31.3,0
2017,7,23,12,227.15817477031,33.97,0
2017,7,23,13,206.96204473597996,30.4,0
2017,7,23,14,218.53520362281,34.649999,0
2017,7,23,15,376.6095007909301,36.360001,0
2017,7,23,16,502.86078718763,52.53,0
2017,7,23,17,686.2613277603299,29.400001,0
2017,7,23,18,850.7063063797302,31.680001,0
2017,7,23,19,1032.7527488566302,32.14,0
2017,7,23,20,1157.75120427743,28.560001,0
2017,7,23,21,1312.33015927954,27.150001,0
2017,7,23,22,1418.3666172151302,24.37,0
2017,7,23,23,1339.51834887849,23.3,0
2017,7,24,0,1207.5389173195,22.7,1
2017,7,24,1,1165.634393978,21.51,1
2017,7,24,2,1071.6396911841998,19.44,1
2017,7,24,3,887.5690115404998,18.46,1
2017,7,24,4,660.8613939841001,19.28,1
2017,7,24,5,487.43745606347,20.85,1
2017,7,24,6,390.91872275646,23.09,1
2017,7,24,7,297.02850757484,23.37,1
2017,7,24,8,269.78535372013,23.96,1
2017,7,24,9,231.48800085372,26.28,1
2017,7,24,10,219.8170132703,26.8,1
2017,7,24,11,220.35535871398,26.819999,1
2017,7,24,12,299.04615540695005,28.07,1
2017,7,24,13,296.64094493016,29.83,1
2017,7,24,14,365.2506239862,36.62,1
2017,7,24,15,551.15176890013,37.57,1
2017,7,24,16,657.5057483724299,39.01,1
2017,7,24,17,892.65742150973,36.76,1
2017,7,24,18,1042.68563296943,29.86,1
2017,7,24,19,1134.64438829983,26.19,1
2017,7,24,20,1314.98732268203,25.28,1
2017,7,24,21,1477.00419543544,24.28,1
2017,7,24,22,1507.86051131043,22.420001,1
2017,7,24,23,1474.6999489648902,19.89,1
2017,7,25,0,1331.3609805721003,20.53,1
2017,7,25,1,1281.2120233084,20.539999,1
2017,7,25,2,1176.9662401275998,19.48,1
2017,7,25,3,942.8183300569,18.649999,1
2017,7,25,4,753.5777573293999,18.9,1
2017,7,25,5,548.18084196327,20.22,1
2017,7,25,6,428.12992026436,19.51,1
2017,7,25,7,360.45120688024,21.66,1
2017,7,25,8,333.02334667441,22.55,1
2017,7,25,9,293.19629428434,22.759999,1
2017,7,25,10,281.36936200106004,25.309999,1
2017,7,25,11,302.6144137475,27.74,1
2017,7,25,12,400.10485693301,34.999999,1
2017,7,25,13,445.96854077458,29.650001,1
